order_id,order_date,region,sales_rep,customer_segment,product_category,product_name,units,unit_price,discount_pct,revenue,returned
ORD-000031,2025-01-04,East,L. Nguyen,Mid-Market,Services,Priority Support,1,1458.51,0.086,1333.08,No
ORD-000032,2025-01-04,West,D. Rossi,Mid-Market,Accessories,Webcam HD,4,94.44,0.025,368.32,No
ORD-000033,2025-01-04,South,S. Patel,SMB,Accessories,USB-C Hub,3,26.89,0.078,74.38,No
ORD-000034,2025-01-04,North,A. Chen,Enterprise,Hardware,Falcon Laptop,1,1971.78,0.066,1841.64,No
ORD-000035,2025-01-04,South,M. Okafor,Enterprise,Software,DataLens License,2,309.17,0.057,583.09,No
ORD-000036,2025-01-04,East,L. Nguyen,Enterprise,Accessories,Webcam HD,2,64.71,0.008,128.38,No
ORD-000037,2025-01-04,West,D. Rossi,Enterprise,Accessories,Webcam HD,1,118.73,0.029,115.29,No
ORD-000038,2025-01-04,North,R. Diaz,SMB,Software,SecureGuard License,1,151.87,0.019,148.98,No
ORD-000039,2025-01-05,North,R. Diaz,Mid-Market,Software,DataLens License,1,185.73,0.048,176.81,No
ORD-000040,2025-01-05,North,R. Diaz,SMB,Software,DataLens License,1,199.22,0.038,191.65,Yes
ORD-000041,2025-01-05,West,T. Brooks,SMB,Software,FlowSuite License,1,331.84,0.051,314.92,No
ORD-000042,2025-01-05,South,M. Okafor,Mid-Market,Software,FlowSuite License,1,581.78,0.043,556.76,No
ORD-000043,2025-01-05,South,M. Okafor,Enterprise,Hardware,Nimbus Monitor,3,1497.37,0.136,3881.18,No
ORD-000044,2025-01-05,South,S. Patel,Enterprise,Software,FlowSuite License,2,544.51,0.123,955.07,No
ORD-000045,2025-01-05,West,T. Brooks,SMB,Accessories,Webcam HD,6,34.27,0.023,200.89,No
ORD-000046,2025-01-05,South,M. Okafor,Mid-Market,Accessories,Laptop Sleeve,2,86.71,0.037,167.0,No
ORD-000047,2025-01-06,North,A. Chen,Enterprise,Software,DataLens License,1,563.43,0.223,437.79,No
ORD-000048,2025-01-06,North,R. Diaz,SMB,Accessories,USB-C Hub,3,18.41,0.066,51.58,No
ORD-000049,2025-01-06,West,D. Rossi,Mid-Market,Accessories,Webcam HD,4,91.03,0.104,326.25,No
ORD-000050,2025-01-06,West,T. Brooks,SMB,Software,SecureGuard License,1,265.88,0.036,256.31,No
ORD-000051,2025-01-06,South,M. Okafor,SMB,Accessories,Webcam HD,3,113.62,0.021,333.7,No
ORD-000052,2025-01-06,North,R. Diaz,Enterprise,Hardware,Titan Desktop,1,1338.81,0.191,1083.1,No
ORD-000053,2025-01-06,South,S. Patel,SMB,Software,DataLens License,3,467.96,0.056,1325.26,No
ORD-000054,2025-01-07,South,M. Okafor,SMB,Accessories,Laptop Sleeve,3,94.27,0.033,273.48,No
ORD-000055,2025-01-07,North,R. Diaz,SMB,Accessories,Wireless Mouse,1,20.5,0.017,20.15,No
ORD-000056,2025-01-07,South,M. Okafor,SMB,Accessories,USB-C Hub,3,99.86,0.025,292.09,No
ORD-000057,2025-01-07,North,A. Chen,SMB,Accessories,USB-C Hub,4,100.88,0.074,373.66,No
ORD-000058,2025-01-07,North,R. Diaz,SMB,Accessories,Wireless Mouse,2,111.77,0.006,222.2,No
ORD-000059,2025-01-07,North,A. Chen,Mid-Market,Accessories,USB-C Hub,2,56.18,0.023,109.78,No
ORD-000060,2025-01-07,West,T. Brooks,Mid-Market,Accessories,USB-C Hub,2,69.78,0.055,131.88,No
ORD-000061,2025-01-07,North,A. Chen,Mid-Market,Software,SecureGuard License,2,363.23,0.011,718.47,No
ORD-000062,2025-01-07,West,D. Rossi,SMB,Software,FlowSuite License,1,156.97,0.018,154.14,No
ORD-000063,2025-01-07,South,S. Patel,Enterprise,Accessories,Webcam HD,3,32.42,0.155,82.18,No
ORD-000064,2025-01-08,North,R. Diaz,Enterprise,Accessories,Laptop Sleeve,2,108.53,0.017,213.37,No
ORD-000065,2025-01-08,North,A. Chen,Enterprise,Hardware,Falcon Laptop,1,1038.46,0.199,831.81,No
ORD-000066,2025-01-08,South,M. Okafor,SMB,Accessories,Webcam HD,4,17.93,0.018,70.43,Yes
ORD-000067,2025-01-08,South,M. Okafor,Mid-Market,Hardware,Titan Desktop,1,1223.97,0.05,1162.77,No
ORD-000068,2025-01-08,North,R. Diaz,SMB,Hardware,Falcon Laptop,3,1733.89,0.048,4951.99,No
ORD-000069,2025-01-08,East,J. Kim,SMB,Software,DataLens License,1,403.15,0.012,398.31,No
ORD-000070,2025-01-08,South,M. Okafor,Mid-Market,Hardware,Falcon Laptop,3,1274.04,0.042,3661.59,No
ORD-000071,2025-01-08,North,R. Diaz,SMB,Services,Priority Support,2,1207.94,0.038,2324.08,No
ORD-000072,2025-01-08,West,D. Rossi,Mid-Market,Hardware,Titan Desktop,4,2200.57,0.062,8256.54,No
ORD-000073,2025-01-08,West,D. Rossi,SMB,Hardware,Falcon Laptop,1,1430.48,0.075,1323.19,Yes
ORD-000074,2025-01-08,West,T. Brooks,Mid-Market,Hardware,Nimbus Monitor,1,2039.78,0.071,1894.96,No
ORD-000075,2025-01-08,West,D. Rossi,SMB,Software,FlowSuite License,1,454.62,0.061,426.89,No
ORD-000076,2025-01-09,North,A. Chen,SMB,Software,DataLens License,1,326.03,0.016,320.81,No
ORD-000077,2025-01-09,South,S. Patel,SMB,Software,DataLens License,1,549.32,0.032,531.74,No
ORD-000078,2025-01-09,West,T. Brooks,Mid-Market,Accessories,Laptop Sleeve,1,28.46,0.12,25.04,No
ORD-000079,2025-01-09,North,A. Chen,Mid-Market,Hardware,Titan Desktop,1,2197.53,0.121,1931.63,No
ORD-000080,2025-01-09,North,A. Chen,Enterprise,Accessories,USB-C Hub,2,74.17,0.192,119.86,No
ORD-000081,2025-01-09,West,T. Brooks,Enterprise,Hardware,Nimbus Monitor,1,1381.4,0.24,1049.86,Yes
ORD-000082,2025-01-09,South,S. Patel,SMB,Software,SecureGuard License,5,585.67,0.016,2881.5,No
ORD-000083,2025-01-09,East,J. Kim,SMB,Accessories,Wireless Mouse,3,57.79,0.067,161.75,No
ORD-000084,2025-01-09,South,S. Patel,Enterprise,Hardware,Titan Desktop,1,2275.39,0.072,2111.56,No
ORD-000085,2025-01-09,North,R. Diaz,SMB,Services,Onboarding Package,2,906.19,0.001,1810.57,No
ORD-000086,2025-01-09,North,R. Diaz,Enterprise,Accessories,Laptop Sleeve,3,25.13,0.011,74.56,No
ORD-000087,2025-01-09,South,S. Patel,Enterprise,Software,SecureGuard License,1,507.48,0.135,438.97,No
ORD-000088,2025-01-09,West,D. Rossi,SMB,Hardware,Titan Desktop,1,1653.75,0.078,1524.76,No
ORD-000089,2025-01-09,North,A. Chen,SMB,Accessories,USB-C Hub,1,71.71,0.031,69.49,No
ORD-000090,2025-01-10,North,R. Diaz,Enterprise,Accessories,Webcam HD,4,88.0,0.102,316.1,No
ORD-000091,2025-01-10,West,D. Rossi,SMB,Services,Priority Support,1,958.67,0.015,944.29,No
ORD-000092,2025-01-10,South,S. Patel,SMB,Accessories,Laptop Sleeve,1,54.08,0.077,49.92,No
ORD-000093,2025-01-10,West,D. Rossi,SMB,Software,FlowSuite License,1,177.12,0.06,166.49,No
ORD-000094,2025-01-10,North,R. Diaz,Mid-Market,Software,DataLens License,1,404.33,0.148,344.49,No
ORD-000095,2025-01-10,West,D. Rossi,Enterprise,Services,Onboarding Package,2,1158.63,0.049,2203.71,No
ORD-000096,2025-01-10,South,S. Patel,SMB,Accessories,Wireless Mouse,3,68.76,0.061,193.7,No
ORD-000097,2025-01-10,South,S. Patel,Mid-Market,Software,SecureGuard License,1,331.24,0.058,312.03,No
ORD-000098,2025-01-10,South,S. Patel,Mid-Market,Accessories,Webcam HD,5,102.19,0.045,487.96,No
ORD-000099,2025-01-10,East,J. Kim,SMB,Hardware,Falcon Laptop,3,2317.08,0.038,6687.09,No
ORD-000100,2025-01-10,South,S. Patel,Enterprise,Software,FlowSuite License,1,349.12,0.123,306.18,No
ORD-000101,2025-01-11,West,T. Brooks,SMB,Software,SecureGuard License,2,457.23,0.073,847.7,No
ORD-000102,2025-01-11,West,D. Rossi,SMB,Hardware,Titan Desktop,2,1734.78,0.076,3205.87,No
ORD-000103,2025-01-11,West,D. Rossi,SMB,Software,DataLens License,1,219.22,0.007,217.69,No
ORD-000104,2025-01-12,North,R. Diaz,Mid-Market,Services,Onboarding Package,1,410.23,0.075,379.46,No
ORD-000105,2025-01-12,North,A. Chen,Mid-Market,Services,Custom Training,1,1427.04,0.026,1389.94,No
ORD-000106,2025-01-12,West,T. Brooks,Mid-Market,Software,DataLens License,1,491.85,0.026,479.06,No
ORD-000107,2025-01-12,West,D. Rossi,Mid-Market,Software,SecureGuard License,1,356.83,0.042,341.84,No
ORD-000108,2025-01-12,North,R. Diaz,Enterprise,Software,DataLens License,1,553.1,0.09,503.32,No
ORD-000109,2025-01-13,South,S. Patel,SMB,Hardware,Falcon Laptop,1,1955.43,0.054,1849.84,No
ORD-000110,2025-01-13,West,T. Brooks,Enterprise,Hardware,Nimbus Monitor,6,1492.68,0.156,7558.93,No
ORD-000111,2025-01-13,South,M. Okafor,Mid-Market,Software,DataLens License,3,398.36,0.065,1117.4,No
ORD-000112,2025-01-13,North,A. Chen,SMB,Services,Priority Support,1,1369.95,0.01,1356.25,No
ORD-000113,2025-01-13,South,M. Okafor,Mid-Market,Accessories,Wireless Mouse,1,71.96,0.093,65.27,No
ORD-000114,2025-01-13,West,T. Brooks,Mid-Market,Accessories,USB-C Hub,3,87.92,0.096,238.44,No
ORD-000115,2025-01-13,East,J. Kim,Enterprise,Hardware,Nimbus Monitor,1,1953.08,0.021,1912.07,No
ORD-000116,2025-01-13,West,D. Rossi,Mid-Market,Services,Custom Training,2,1149.66,0.04,2207.35,No
ORD-000117,2025-01-13,South,S. Patel,Mid-Market,Software,SecureGuard License,1,359.42,0.033,347.56,No
ORD-000118,2025-01-14,West,D. Rossi,SMB,Software,SecureGuard License,1,594.44,0.027,578.39,No
ORD-000119,2025-01-14,West,D. Rossi,Mid-Market,Services,Custom Training,1,427.44,0.016,420.6,No
ORD-000120,2025-01-14,South,M. Okafor,SMB,Accessories,Laptop Sleeve,2,59.26,0.068,110.46,No
ORD-000121,2025-01-14,West,T. Brooks,SMB,Hardware,Falcon Laptop,5,2216.81,0.058,10441.18,No
ORD-000122,2025-01-14,North,A. Chen,Enterprise,Hardware,Falcon Laptop,1,2112.36,0.216,1656.09,No
ORD-000123,2025-01-15,West,T. Brooks,SMB,Accessories,Webcam HD,3,83.47,0.037,241.14,Yes
ORD-000124,2025-01-15,East,L. Nguyen,Mid-Market,Accessories,Laptop Sleeve,4,66.95,0.035,258.43,No
ORD-000125,2025-01-15,North,R. Diaz,Enterprise,Services,Priority Support,1,769.33,0.11,684.7,No
ORD-000126,2025-01-15,North,R. Diaz,Mid-Market,Software,SecureGuard License,1,206.76,0.046,197.25,No
ORD-000127,2025-01-15,East,J. Kim,Enterprise,Software,FlowSuite License,1,290.46,0.158,244.57,No
ORD-000128,2025-01-15,South,M. Okafor,Enterprise,Hardware,Falcon Laptop,2,1485.63,0.199,2379.98,No
ORD-000129,2025-01-15,North,R. Diaz,Mid-Market,Accessories,USB-C Hub,4,23.47,0.036,90.5,Yes
ORD-000130,2025-01-16,West,T. Brooks,SMB,Hardware,Titan Desktop,1,1550.2,0.036,1494.39,No
ORD-000131,2025-01-16,South,M. Okafor,Mid-Market,Software,SecureGuard License,1,230.41,0.134,199.54,No
ORD-000132,2025-01-16,West,T. Brooks,Mid-Market,Hardware,Titan Desktop,5,1496.25,0.0,7481.25,No
ORD-000133,2025-01-16,South,S. Patel,SMB,Software,SecureGuard License,1,507.75,0.043,485.92,No
ORD-000134,2025-01-16,North,R. Diaz,Enterprise,Software,DataLens License,1,546.08,0.075,505.12,No
ORD-000135,2025-01-16,West,T. Brooks,Enterprise,Services,Custom Training,1,877.16,0.084,803.48,No
ORD-000136,2025-01-17,West,T. Brooks,Enterprise,Accessories,Webcam HD,3,24.75,0.147,63.34,No
ORD-000137,2025-01-17,South,M. Okafor,SMB,Accessories,Wireless Mouse,3,58.73,0.052,167.03,No
ORD-000138,2025-01-17,West,T. Brooks,SMB,Software,DataLens License,4,230.21,0.041,883.09,No
ORD-000139,2025-01-17,North,A. Chen,Enterprise,Hardware,Nimbus Monitor,1,1473.12,0.013,1453.97,No
ORD-000140,2025-01-17,West,D. Rossi,Enterprise,Hardware,Falcon Laptop,1,1209.39,0.067,1128.36,No
ORD-000141,2025-01-17,North,R. Diaz,Mid-Market,Software,FlowSuite License,1,459.39,0.11,408.86,No
ORD-000142,2025-01-17,West,T. Brooks,Mid-Market,Accessories,Webcam HD,2,56.68,0.003,113.02,No
ORD-000143,2025-01-17,South,M. Okafor,Mid-Market,Software,DataLens License,1,462.4,0.113,410.15,No
ORD-000144,2025-01-17,East,J. Kim,Mid-Market,Software,SecureGuard License,1,294.52,0.117,260.06,No
ORD-000145,2025-01-18,South,M. Okafor,SMB,Software,FlowSuite License,1,261.75,0.021,256.25,No
ORD-000146,2025-01-18,West,D. Rossi,SMB,Hardware,Titan Desktop,1,1497.41,0.04,1437.51,No
ORD-000147,2025-01-18,West,T. Brooks,SMB,Software,DataLens License,1,576.85,0.005,573.97,No
ORD-000148,2025-01-18,South,S. Patel,SMB,Hardware,Nimbus Monitor,5,950.97,0.036,4583.68,No
ORD-000149,2025-01-18,West,T. Brooks,SMB,Software,FlowSuite License,1,551.97,0.055,521.61,No
ORD-000150,2025-01-18,West,D. Rossi,Enterprise,Software,FlowSuite License,1,552.28,0.236,421.94,No
ORD-000151,2025-01-18,East,L. Nguyen,Enterprise,Accessories,Laptop Sleeve,2,50.96,0.247,76.75,No
ORD-000152,2025-01-19,West,T. Brooks,SMB,Software,DataLens License,1,279.14,0.009,276.63,No
ORD-000153,2025-01-19,South,S. Patel,Mid-Market,Accessories,USB-C Hub,2,93.0,0.138,160.33,No
ORD-000154,2025-01-19,South,M. Okafor,Mid-Market,Software,DataLens License,2,387.38,0.135,670.17,No
ORD-000155,2025-01-19,West,D. Rossi,SMB,Hardware,Nimbus Monitor,3,2215.95,0.056,6275.57,No
ORD-000156,2025-01-19,West,D. Rossi,Mid-Market,Hardware,Nimbus Monitor,1,1514.65,0.036,1460.12,No
ORD-000157,2025-01-19,North,R. Diaz,Mid-Market,Accessories,Laptop Sleeve,3,99.56,0.117,263.73,No
ORD-000158,2025-01-19,West,T. Brooks,SMB,Accessories,Webcam HD,5,99.94,0.009,495.2,No
ORD-000159,2025-01-19,West,D. Rossi,SMB,Accessories,Webcam HD,3,119.1,0.077,329.79,Yes
ORD-000160,2025-01-19,West,D. Rossi,Enterprise,Services,Priority Support,1,556.89,0.021,545.2,No
ORD-000161,2025-01-20,West,D. Rossi,SMB,Accessories,Webcam HD,4,101.58,0.003,405.1,No
ORD-000162,2025-01-20,North,R. Diaz,Enterprise,Accessories,Wireless Mouse,4,96.48,0.224,299.47,No
ORD-000163,2025-01-20,West,D. Rossi,SMB,Hardware,Nimbus Monitor,2,2106.77,0.059,3964.94,No
ORD-000164,2025-01-20,West,T. Brooks,SMB,Accessories,USB-C Hub,2,32.0,0.03,62.08,Yes
ORD-000165,2025-01-20,South,S. Patel,Enterprise,Accessories,Wireless Mouse,5,117.89,0.15,501.03,No
ORD-000166,2025-01-20,West,T. Brooks,SMB,Accessories,Webcam HD,1,114.28,0.002,114.05,No
ORD-000167,2025-01-20,West,D. Rossi,SMB,Software,SecureGuard License,1,231.16,0.039,222.14,No
ORD-000168,2025-01-21,West,D. Rossi,Mid-Market,Accessories,USB-C Hub,4,37.7,0.004,150.2,No
ORD-000169,2025-01-21,West,T. Brooks,Mid-Market,Accessories,USB-C Hub,2,17.38,0.127,30.35,No
ORD-000170,2025-01-21,North,A. Chen,SMB,Accessories,Laptop Sleeve,4,110.42,0.079,406.79,No
ORD-000171,2025-01-21,West,D. Rossi,Mid-Market,Accessories,USB-C Hub,2,43.33,0.067,80.85,No
ORD-000172,2025-01-21,North,A. Chen,Mid-Market,Accessories,Wireless Mouse,5,21.93,0.018,107.68,No
ORD-000173,2025-01-21,West,T. Brooks,SMB,Software,FlowSuite License,2,497.27,0.053,941.83,Yes
ORD-000174,2025-01-21,North,A. Chen,Mid-Market,Services,Priority Support,1,550.56,0.06,517.53,No
ORD-000175,2025-01-21,East,J. Kim,Mid-Market,Accessories,Wireless Mouse,2,22.94,0.02,44.96,No
ORD-000176,2025-01-21,East,L. Nguyen,Mid-Market,Hardware,Titan Desktop,2,2341.31,0.057,4415.71,No
ORD-000177,2025-01-21,North,A. Chen,Enterprise,Accessories,Wireless Mouse,2,82.8,0.022,161.96,No
ORD-000178,2025-01-22,West,D. Rossi,Enterprise,Hardware,Titan Desktop,1,1770.07,0.174,1462.08,No
ORD-000179,2025-01-22,North,A. Chen,SMB,Accessories,Webcam HD,5,32.92,0.038,158.35,No
ORD-000180,2025-01-22,South,S. Patel,SMB,Hardware,Nimbus Monitor,1,1057.59,0.026,1030.09,No
ORD-000181,2025-01-22,West,D. Rossi,Mid-Market,Services,Onboarding Package,2,740.44,0.13,1288.37,No
ORD-000182,2025-01-22,West,D. Rossi,Mid-Market,Accessories,Laptop Sleeve,3,40.47,0.086,110.97,No
ORD-000183,2025-01-22,South,M. Okafor,Mid-Market,Accessories,Wireless Mouse,3,112.4,0.108,300.78,No
ORD-000184,2025-01-22,South,S. Patel,Mid-Market,Software,FlowSuite License,1,192.04,0.094,173.99,No
ORD-000185,2025-01-22,West,T. Brooks,SMB,Software,DataLens License,3,570.06,0.024,1669.14,No
ORD-000186,2025-01-23,East,J. Kim,SMB,Services,Onboarding Package,3,1481.23,0.005,4421.47,No
ORD-000187,2025-01-23,South,S. Patel,SMB,Software,DataLens License,2,405.72,0.018,796.83,No
ORD-000188,2025-01-23,West,T. Brooks,Enterprise,Accessories,USB-C Hub,4,70.69,0.028,274.84,No
ORD-000189,2025-01-23,West,T. Brooks,Enterprise,Software,DataLens License,1,281.56,0.214,221.31,No
ORD-000190,2025-01-23,North,R. Diaz,Mid-Market,Accessories,Webcam HD,1,96.14,0.092,87.3,No
ORD-000191,2025-01-23,North,R. Diaz,SMB,Hardware,Nimbus Monitor,1,1690.36,0.008,1676.84,No
ORD-000192,2025-01-24,North,A. Chen,SMB,Accessories,Webcam HD,3,43.25,0.078,119.63,No
ORD-000193,2025-01-24,West,T. Brooks,Mid-Market,Software,SecureGuard License,1,591.49,0.143,506.91,No
ORD-000194,2025-01-24,North,R. Diaz,SMB,Software,DataLens License,1,129.46,0.024,126.35,No
ORD-000195,2025-01-24,West,D. Rossi,Enterprise,Accessories,Webcam HD,1,43.1,0.097,38.92,No
ORD-000196,2025-01-24,East,L. Nguyen,Mid-Market,Software,DataLens License,1,359.2,0.049,341.6,No
ORD-000197,2025-01-24,West,D. Rossi,Enterprise,Accessories,Laptop Sleeve,1,64.06,0.043,61.31,Yes
ORD-000198,2025-01-24,West,D. Rossi,SMB,Software,SecureGuard License,1,126.52,0.057,119.31,No
ORD-000199,2025-01-25,West,D. Rossi,Mid-Market,Services,Onboarding Package,1,435.37,0.107,388.79,No
ORD-000200,2025-01-25,West,T. Brooks,SMB,Services,Priority Support,1,1157.78,0.021,1133.47,No
ORD-000201,2025-01-25,West,D. Rossi,SMB,Accessories,Wireless Mouse,4,115.95,0.069,431.8,No
ORD-000202,2025-01-25,South,M. Okafor,SMB,Software,DataLens License,1,308.93,0.023,301.82,No
ORD-000203,2025-01-25,North,R. Diaz,Mid-Market,Software,DataLens License,1,150.65,0.132,130.76,No
ORD-000204,2025-01-25,North,A. Chen,Enterprise,Accessories,Webcam HD,2,97.09,0.084,177.87,No
ORD-000205,2025-01-25,West,D. Rossi,Enterprise,Services,Custom Training,1,507.74,0.19,411.27,No
ORD-000206,2025-01-25,East,L. Nguyen,SMB,Accessories,USB-C Hub,2,74.13,0.044,141.74,No
ORD-000207,2025-01-25,West,T. Brooks,SMB,Services,Onboarding Package,1,620.94,0.021,607.9,No
ORD-000208,2025-01-25,South,S. Patel,Enterprise,Accessories,Laptop Sleeve,6,45.05,0.06,254.08,No
ORD-000209,2025-01-25,South,S. Patel,Mid-Market,Hardware,Nimbus Monitor,1,1279.26,0.089,1165.41,No
ORD-000210,2025-01-25,West,D. Rossi,Enterprise,Software,DataLens License,4,433.95,0.097,1567.43,No
ORD-000211,2025-01-25,West,D. Rossi,Mid-Market,Accessories,Laptop Sleeve,3,99.61,0.033,288.97,No
ORD-000212,2025-01-26,North,A. Chen,SMB,Accessories,Wireless Mouse,2,20.15,0.054,38.12,No
ORD-000213,2025-01-26,East,L. Nguyen,Mid-Market,Accessories,Wireless Mouse,7,72.9,0.135,441.41,No
ORD-000214,2025-01-26,North,R. Diaz,SMB,Accessories,Webcam HD,1,35.56,0.067,33.18,No
ORD-000215,2025-01-26,North,R. Diaz,Enterprise,Accessories,Wireless Mouse,4,115.36,0.057,435.14,No
ORD-000216,2025-01-26,North,R. Diaz,Mid-Market,Hardware,Falcon Laptop,1,1182.39,0.129,1029.86,No
ORD-000217,2025-01-27,West,T. Brooks,SMB,Services,Priority Support,2,1423.53,0.018,2795.81,No
ORD-000218,2025-01-27,South,S. Patel,Mid-Market,Software,DataLens License,1,141.11,0.023,137.86,No
ORD-000219,2025-01-27,West,D. Rossi,SMB,Accessories,USB-C Hub,4,38.37,0.0,153.48,No
ORD-000220,2025-01-27,South,S. Patel,Mid-Market,Software,DataLens License,1,248.14,0.144,212.41,No
ORD-000221,2025-01-27,West,T. Brooks,SMB,Accessories,Wireless Mouse,3,19.02,0.071,53.01,No
ORD-000222,2025-01-28,West,T. Brooks,SMB,Hardware,Titan Desktop,1,2445.1,0.037,2354.63,No
ORD-000223,2025-01-28,West,D. Rossi,Mid-Market,Hardware,Titan Desktop,4,1098.17,0.078,4050.05,No
ORD-000224,2025-01-28,North,A. Chen,Mid-Market,Software,SecureGuard License,1,173.35,0.098,156.36,No
ORD-000225,2025-01-28,East,L. Nguyen,SMB,Accessories,Wireless Mouse,3,60.28,0.067,168.72,No
ORD-000226,2025-01-29,North,A. Chen,Enterprise,Services,Custom Training,2,1208.32,0.166,2015.48,No
ORD-000227,2025-01-29,West,T. Brooks,SMB,Hardware,Nimbus Monitor,2,935.69,0.05,1777.81,No
ORD-000228,2025-01-29,West,D. Rossi,Enterprise,Hardware,Titan Desktop,1,1723.9,0.099,1553.23,No
ORD-000229,2025-01-29,South,S. Patel,Mid-Market,Software,DataLens License,3,446.7,0.074,1240.93,No
ORD-000230,2025-01-29,South,S. Patel,SMB,Accessories,USB-C Hub,1,112.87,0.006,112.19,No
ORD-000231,2025-01-29,West,D. Rossi,Mid-Market,Software,FlowSuite License,4,524.37,0.014,2068.12,No
ORD-000232,2025-01-29,South,S. Patel,SMB,Software,FlowSuite License,2,220.0,0.052,417.12,No
ORD-000233,2025-01-29,East,J. Kim,Enterprise,Accessories,Wireless Mouse,5,50.46,0.069,234.89,No
ORD-000234,2025-01-30,East,L. Nguyen,SMB,Accessories,Laptop Sleeve,1,24.15,0.035,23.3,No
ORD-000235,2025-01-30,North,A. Chen,Mid-Market,Accessories,Wireless Mouse,5,99.52,0.06,467.74,No
ORD-000236,2025-01-30,East,L. Nguyen,SMB,Accessories,Wireless Mouse,4,69.45,0.035,268.08,No
ORD-000237,2025-01-30,West,D. Rossi,Mid-Market,Accessories,USB-C Hub,6,97.07,0.044,556.79,No
ORD-000238,2025-01-30,North,A. Chen,SMB,Software,SecureGuard License,1,533.65,0.026,519.78,No
ORD-000239,2025-01-30,West,T. Brooks,Mid-Market,Hardware,Falcon Laptop,1,1297.3,0.093,1176.65,No
ORD-000240,2025-01-30,North,A. Chen,SMB,Accessories,Webcam HD,2,51.45,0.016,101.25,No
ORD-000241,2025-01-30,West,D. Rossi,SMB,Services,Priority Support,2,389.95,0.036,751.82,No
ORD-000242,2025-01-30,West,T. Brooks,SMB,Accessories,USB-C Hub,4,95.6,0.008,379.34,No
ORD-000243,2025-01-31,West,D. Rossi,Mid-Market,Services,Custom Training,2,732.75,0.036,1412.74,No
ORD-000244,2025-01-31,East,L. Nguyen,Enterprise,Accessories,Webcam HD,4,16.67,0.13,58.01,No
